案號,案發時間,案件地點網格編號,timestamp
20220101071041004,2022-01-01 07:11:00,286,1641021060
20220101071147007,2022-01-01 07:13:00,513,1641021180
20220101071549004,2022-01-01 07:16:00,490,1641021360
20220101072612007,2022-01-01 07:27:00,222,1641022020
20220101072829004,2022-01-01 07:30:00,704,1641022200
20220101073217004,2022-01-01 07:33:00,218,1641022380
20220101073820007,2022-01-01 07:38:00,252,1641022680
20220101074402007,2022-01-01 07:45:00,432,1641023100
20220101074853004,2022-01-01 07:48:00,408,1641023280
20220101074838003,2022-01-01 07:50:00,612,1641023400
20220101074853004,2022-01-01 07:50:00,408,1641023400
20220101075035007,2022-01-01 07:51:00,225,1641023460
20220101075745003,2022-01-01 07:59:00,342,1641023940
20220101075911004,2022-01-01 08:01:00,365,1641024060
20220101082142003,2022-01-01 08:21:00,188,1641025260
20220101082142003,2022-01-01 08:25:00,188,1641025500
20220101082423004,2022-01-01 08:25:00,223,1641025500
20220101082741002,2022-01-01 08:29:00,172,1641025740
20220101083009007,2022-01-01 08:30:00,405,1641025800
20220101083108005,2022-01-01 08:32:00,171,1641025920
20220101083145007,2022-01-01 08:33:00,371,1641025980
20220101083145007,2022-01-01 08:33:00,371,1641025980
20220101083914007,2022-01-01 08:40:00,288,1641026400
20220101083914007,2022-01-01 08:40:00,288,1641026400
20220101083921004,2022-01-01 08:42:00,552,1641026520
20220101090908008,2022-01-01 09:09:00,288,1641028140
20220101091753008,2022-01-01 09:18:00,197,1641028680
20220101091635004,2022-01-01 09:19:00,489,1641028740
20220101091939007,2022-01-01 09:20:00,313,1641028800
20220101092649007,2022-01-01 09:27:00,364,1641029220
20220101093223005,2022-01-01 09:33:00,484,1641029580
20220101093533004,2022-01-01 09:37:00,615,1641029820
20220101093826007,2022-01-01 09:39:00,253,1641029940
20220101094625008,2022-01-01 09:47:00,349,1641030420
20220101094943003,2022-01-01 09:50:00,224,1641030600
20220101095123007,2022-01-01 09:52:00,318,1641030720
20220101095405004,2022-01-01 09:55:00,461,1641030900
20220101100056004,2022-01-01 10:02:00,335,1641031320
20220101100215007,2022-01-01 10:03:00,225,1641031380
20220101100308004,2022-01-01 10:05:00,520,1641031500
20220101100308004,2022-01-01 10:05:00,520,1641031500
20220101100442002,2022-01-01 10:06:00,309,1641031560
20220101100658005,2022-01-01 10:06:00,342,1641031560
20220101100658005,2022-01-01 10:09:00,342,1641031740
20220101100658005,2022-01-01 10:09:00,342,1641031740
20220101101025002,2022-01-01 10:11:00,430,1641031860
20220101101925004,2022-01-01 10:20:00,424,1641032400
20220101102039005,2022-01-01 10:22:00,370,1641032520
20220101102435004,2022-01-01 10:26:00,252,1641032760
20220101103132002,2022-01-01 10:32:00,461,1641033120
20220101103217007,2022-01-01 10:33:00,339,1641033180
20220101103217007,2022-01-01 10:33:00,339,1641033180
20220101103551007,2022-01-01 10:36:00,253,1641033360
20220101104612005,2022-01-01 10:48:00,307,1641034080
20220101104950008,2022-01-01 10:51:00,190,1641034260
20220101104957007,2022-01-01 10:52:00,350,1641034320
20220101105152002,2022-01-01 10:52:00,369,1641034320
20220101105021004,2022-01-01 10:53:00,370,1641034380
20220101105811007,2022-01-01 10:59:00,463,1641034740
20220101105945005,2022-01-01 11:01:00,463,1641034860
20220101110115002,2022-01-01 11:01:00,461,1641034860
20220101110132007,2022-01-01 11:02:00,394,1641034920
20220101110339007,2022-01-01 11:04:00,282,1641035040
20220101110707003,2022-01-01 11:08:00,310,1641035280
20220101110214002,2022-01-01 11:09:00,172,1641035340
20220101111006005,2022-01-01 11:11:00,700,1641035460
20220101112039005,2022-01-01 11:22:00,232,1641036120
20220101112541007,2022-01-01 11:26:00,278,1641036360
20220101112501004,2022-01-01 11:26:00,615,1641036360
20220101112817008,2022-01-01 11:29:00,429,1641036540
20220101114207007,2022-01-01 11:43:00,401,1641037380
20220101114855007,2022-01-01 11:50:00,190,1641037800
20220101115715004,2022-01-01 11:58:00,188,1641038280
20220101115934005,2022-01-01 12:00:00,370,1641038400
20220101120020002,2022-01-01 12:01:00,287,1641038460
20220101120054003,2022-01-01 12:01:00,252,1641038460
20220101120219005,2022-01-01 12:03:00,221,1641038580
20220101120302007,2022-01-01 12:05:00,256,1641038700
20220101120314004,2022-01-01 12:05:00,313,1641038700
20220101120507002,2022-01-01 12:07:00,369,1641038820
20220101121024005,2022-01-01 12:11:00,158,1641039060
20220101121216004,2022-01-01 12:13:00,462,1641039180
20220101121656003,2022-01-01 12:18:00,460,1641039480
20220101121811004,2022-01-01 12:19:00,283,1641039540
20220101122433005,2022-01-01 12:25:00,221,1641039900
20220101121753008,2022-01-01 12:26:00,221,1641039960
20220101123022004,2022-01-01 12:31:00,515,1641040260
20220101123628003,2022-01-01 12:37:00,282,1641040620
20220101124145008,2022-01-01 12:43:00,285,1641040980
20220101124950008,2022-01-01 12:50:00,251,1641041400
20220101125317008,2022-01-01 12:55:00,277,1641041700
20220101125827008,2022-01-01 12:59:00,171,1641041940
20220101130002002,2022-01-01 13:01:00,348,1641042060
20220101130143003,2022-01-01 13:02:00,370,1641042120
20220101131104007,2022-01-01 13:12:00,129,1641042720
20220101131115008,2022-01-01 13:13:00,492,1641042780
20220101131315005,2022-01-01 13:14:00,364,1641042840
20220101131546003,2022-01-01 13:16:00,310,1641042960
20220101132623008,2022-01-01 13:27:00,555,1641043620
20220101134428002,2022-01-01 13:45:00,429,1641044700
20220101135248008,2022-01-01 13:54:00,282,1641045240
20220101135722005,2022-01-01 13:58:00,524,1641045480
20220101135730004,2022-01-01 14:01:00,227,1641045660
20220101140041008,2022-01-01 14:02:00,423,1641045720
20220101140527008,2022-01-01 14:07:00,251,1641046020
20220101141128003,2022-01-01 14:12:00,521,1641046320
20220101141649007,2022-01-01 14:17:00,259,1641046620
20220101141855007,2022-01-01 14:19:00,202,1641046740
20220101142310004,2022-01-01 14:24:00,335,1641047040
20220101142345007,2022-01-01 14:24:00,224,1641047040
20220101142509004,2022-01-01 14:26:00,492,1641047160
20220101143448007,2022-01-01 14:35:00,202,1641047700
20220101144107004,2022-01-01 14:42:00,229,1641048120
20220101144116002,2022-01-01 14:43:00,339,1641048180
20220101144412007,2022-01-01 14:45:00,585,1641048300
20220101144614003,2022-01-01 14:46:00,545,1641048360
20220101144621008,2022-01-01 14:48:00,402,1641048480
20220101144650004,2022-01-01 14:48:00,462,1641048480
20220101145347008,2022-01-01 14:55:00,311,1641048900
20220101145630002,2022-01-01 14:57:00,489,1641049020
20220101150630002,2022-01-01 15:07:00,220,1641049620
20220101151512007,2022-01-01 15:17:00,585,1641050220
20220101151740008,2022-01-01 15:19:00,490,1641050340
20220101152329007,2022-01-01 15:24:00,335,1641050640
20220101152521007,2022-01-01 15:25:00,669,1641050700
20220101152930004,2022-01-01 15:30:00,229,1641051000
20220101152930004,2022-01-01 15:30:00,229,1641051000
20220101153053005,2022-01-01 15:33:00,313,1641051180
20220101153746003,2022-01-01 15:38:00,189,1641051480
20220101153926003,2022-01-01 15:40:00,250,1641051600
20220101154347002,2022-01-01 15:44:00,343,1641051840
20220101154844003,2022-01-01 15:49:00,286,1641052140
20220101154711004,2022-01-01 15:50:00,671,1641052200
