分隊,網格編號,車程時間
陽明山,234,48.0
光明,234,16.0
關渡,234,28.0
石牌,234,21.0
秀山,234,39.0
華山,241,24.0
忠孝,241,24.0
泉州,241,13.0
古亭,241,14.0
城中,241,22.0
雙園,241,19.0
龍山,241,22.0
萬芳,241,18.0
景美,241,14.0
木柵,241,20.0
寶橋,241,12.0
金華,241,21.0
安和,241,17.0
復興,241,18.0
南港,241,23.0
舊莊,241,21.0
成德,241,27.0
信義,241,22.0
永吉,241,25.0
莊敬,241,20.0
大直,241,29.0
松江,241,21.0
建國,241,23.0
圓山,241,23.0
八德,241,22.0
中崙,241,22.0
東湖,241,24.0
大湖,241,31.0
內湖,241,26.0
民權,241,24.0
建成,241,25.0
延平,241,21.0
大同,241,26.0
山仔后,241,42.0
天母,241,39.0
福安,241,28.0
社子,241,27.0
劍潭,241,29.0
雙溪,241,33.0
後港,241,30.0
陽明山,241,47.0
光明,241,38.0
關渡,241,34.0
石牌,241,37.0
秀山,241,40.0
華山,243,24.0
忠孝,243,24.0
泉州,243,13.0
古亭,243,12.0
城中,243,22.0
雙園,243,20.0
龍山,243,24.0
萬芳,243,24.0
景美,243,15.0
木柵,243,20.0
寶橋,243,18.0
金華,243,20.0
安和,243,18.0
復興,243,18.0
南港,243,28.0
舊莊,243,25.0
成德,243,30.0
信義,243,24.0
永吉,243,26.0
莊敬,243,21.0
大直,243,30.0
松江,243,20.0
建國,243,22.0
圓山,243,22.0
八德,243,23.0
中崙,243,21.0
東湖,243,29.0
大湖,243,38.0
內湖,243,29.0
民權,243,25.0
建成,243,25.0
延平,243,23.0
大同,243,28.0
山仔后,243,36.0
天母,243,38.0
福安,243,30.0
社子,243,27.0
劍潭,243,28.0
雙溪,243,32.0
後港,243,29.0
陽明山,243,41.0
光明,243,40.0
關渡,243,35.0
石牌,243,39.0
秀山,243,34.0
華山,246,15.0
忠孝,246,17.0
泉州,246,7.0
古亭,246,8.0
城中,246,14.0
雙園,246,14.0
龍山,246,15.0
萬芳,246,19.0
景美,246,11.0
木柵,246,20.0
寶橋,246,19.0
金華,246,14.0
安和,246,14.0
復興,246,14.0
南港,246,29.0
舊莊,246,28.0
成德,246,26.0
信義,246,20.0
永吉,246,22.0
莊敬,246,17.0
大直,246,23.0
松江,246,14.0
建國,246,16.0
圓山,246,16.0
八德,246,19.0
中崙,246,15.0
東湖,246,23.0
大湖,246,30.0
內湖,246,21.0
民權,246,22.0
建成,246,19.0
延平,246,15.0
大同,246,20.0
山仔后,246,37.0
天母,246,32.0
福安,246,22.0
社子,246,21.0
劍潭,246,22.0
雙溪,246,26.0
後港,246,23.0
陽明山,246,42.0
光明,246,32.0
關渡,246,30.0
石牌,246,30.0
秀山,246,31.0
華山,247,12.0
忠孝,247,14.0
泉州,247,5.0
古亭,247,10.0
城中,247,11.0
雙園,247,11.0
龍山,247,12.0
萬芳,247,21.0
景美,247,13.0
木柵,247,22.0
寶橋,247,21.0
金華,247,11.0
安和,247,17.0
復興,247,15.0
南港,247,29.0
舊莊,247,30.0
成德,247,27.0
信義,247,23.0
永吉,247,22.0
莊敬,247,19.0
大直,247,24.0
松江,247,15.0
建國,247,18.0
圓山,247,17.0
八德,247,19.0
中崙,247,16.0
東湖,247,24.0
大湖,247,31.0
內湖,247,23.0
民權,247,24.0
建成,247,17.0
延平,247,13.0
大同,247,17.0
山仔后,247,33.0
天母,247,32.0
福安,247,20.0
社子,247,18.0
劍潭,247,23.0
雙溪,247,27.0
後港,247,22.0
陽明山,247,38.0
光明,247,29.0
關渡,247,27.0
石牌,247,29.0
秀山,247,32.0
華山,248,11.0
忠孝,248,12.0
泉州,248,5.0
古亭,248,9.0
城中,248,9.0
雙園,248,12.0
龍山,248,11.0
萬芳,248,17.0
景美,248,9.0
木柵,248,18.0
寶橋,248,16.0
金華,248,9.0
安和,248,15.0
復興,248,11.0
南港,248,24.0
舊莊,248,23.0
成德,248,23.0
信義,248,21.0
永吉,248,18.0
莊敬,248,18.0
大直,248,20.0
松江,248,11.0
建國,248,13.0
圓山,248,13.0
八德,248,16.0
中崙,248,11.0
東湖,248,20.0
大湖,248,27.0
內湖,248,18.0
民權,248,19.0
建成,248,16.0
延平,248,12.0
大同,248,17.0
山仔后,248,32.0
天母,248,28.0
福安,248,21.0
社子,248,17.0
劍潭,248,19.0
雙溪,248,23.0
後港,248,20.0
陽明山,248,37.0
光明,248,30.0
關渡,248,29.0
石牌,248,26.0
秀山,248,32.0
華山,249,7.0
忠孝,249,10.0
泉州,249,5.0
古亭,249,11.0
城中,249,8.0
雙園,249,11.0
龍山,249,9.0
萬芳,249,21.0
景美,249,13.0
木柵,249,22.0
寶橋,249,21.0
金華,249,8.0
安和,249,17.0
復興,249,13.0
南港,249,25.0
舊莊,249,24.0
成德,249,21.0
信義,249,18.0
永吉,249,17.0
莊敬,249,21.0
大直,249,20.0
松江,249,11.0
建國,249,16.0
圓山,249,14.0
八德,249,14.0
中崙,249,14.0
東湖,249,22.0
大湖,249,29.0
內湖,249,21.0
民權,249,18.0
建成,249,13.0
延平,249,10.0
大同,249,15.0
山仔后,249,29.0
天母,249,28.0
福安,249,21.0
社子,249,19.0
劍潭,249,18.0
雙溪,249,22.0
後港,249,19.0
陽明山,249,34.0
光明,249,31.0
關渡,249,29.0
石牌,249,27.0
秀山,249,31.0
華山,250,4.0
忠孝,250,7.0
泉州,250,8.0
古亭,250,11.0
城中,250,4.0
雙園,250,11.0
龍山,250,8.0
萬芳,250,22.0
景美,250,16.0
木柵,250,25.0
寶橋,250,23.0
金華,250,7.0
安和,250,14.0
復興,250,12.0
南港,250,24.0
舊莊,250,22.0
成德,250,20.0
信義,250,18.0
永吉,250,15.0
莊敬,250,19.0
大直,250,17.0
松江,250,10.0
建國,250,13.0
圓山,250,10.0
八德,250,13.0
中崙,250,12.0
東湖,250,20.0
大湖,250,27.0
內湖,250,18.0
民權,250,16.0
建成,250,9.0
延平,250,8.0
大同,250,12.0
山仔后,250,30.0
天母,250,25.0
福安,250,20.0
社子,250,16.0
劍潭,250,15.0
雙溪,250,19.0
後港,250,16.0
陽明山,250,35.0
光明,250,30.0
關渡,250,28.0
石牌,250,24.0
秀山,250,30.0
華山,251,5.0
忠孝,251,7.0
泉州,251,13.0
古亭,251,16.0
城中,251,5.0
雙園,251,13.0
龍山,251,10.0
萬芳,251,25.0
景美,251,23.0
木柵,251,30.0
寶橋,251,28.0
金華,251,11.0
安和,251,17.0
復興,251,15.0
南港,251,22.0
舊莊,251,21.0
成德,251,18.0
信義,251,15.0
永吉,251,13.0
莊敬,251,20.0
大直,251,18.0
松江,251,10.0
建國,251,14.0
圓山,251,12.0
八德,251,11.0
中崙,251,12.0
東湖,251,20.0
大湖,251,27.0
內湖,251,18.0
民權,251,15.0
建成,251,10.0
延平,251,6.0
大同,251,10.0
山仔后,251,28.0
天母,251,26.0
福安,251,19.0
社子,251,15.0
劍潭,251,16.0
雙溪,251,20.0
後港,251,17.0
陽明山,251,33.0
光明,251,29.0
關渡,251,27.0
石牌,251,27.0
秀山,251,26.0
華山,252,8.0
忠孝,252,10.0
泉州,252,13.0
古亭,252,17.0
城中,252,11.0
雙園,252,13.0
龍山,252,11.0
萬芳,252,23.0
景美,252,22.0
木柵,252,26.0
寶橋,252,28.0
金華,252,12.0
安和,252,19.0
復興,252,16.0
南港,252,23.0
舊莊,252,21.0
成德,252,19.0
信義,252,16.0
永吉,252,14.0
莊敬,252,21.0
大直,252,15.0
松江,252,11.0
建國,252,12.0
圓山,252,9.0
八德,252,12.0
中崙,252,13.0
東湖,252,20.0
大湖,252,27.0
內湖,252,19.0
民權,252,15.0
建成,252,2.0
延平,252,6.0
大同,252,4.0
山仔后,252,26.0
天母,252,23.0
福安,252,15.0
社子,252,11.0
劍潭,252,14.0
雙溪,252,18.0
後港,252,14.0
陽明山,252,31.0
光明,252,25.0
關渡,252,23.0
石牌,252,23.0
秀山,252,22.0
華山,253,10.0
忠孝,253,13.0
泉州,253,14.0
古亭,253,18.0
城中,253,13.0
雙園,253,14.0
龍山,253,12.0
萬芳,253,24.0
景美,253,23.0
木柵,253,30.0
寶橋,253,28.0
金華,253,15.0
安和,253,20.0
復興,253,16.0
南港,253,20.0
舊莊,253,23.0
成德,253,21.0
信義,253,19.0
永吉,253,17.0
莊敬,253,24.0
大直,253,13.0
松江,253,14.0
建國,253,9.0
圓山,253,6.0
八德,253,15.0
中崙,253,14.0
東湖,253,16.0
大湖,253,23.0
內湖,253,14.0
民權,253,18.0
建成,253,6.0
延平,253,8.0
大同,253,3.0
山仔后,253,24.0
天母,253,22.0
福安,253,11.0
社子,253,6.0
劍潭,253,12.0
雙溪,253,16.0
後港,253,11.0
陽明山,253,29.0
光明,253,20.0
關渡,253,19.0
石牌,253,18.0
秀山,253,19.0
華山,254,13.0
忠孝,254,13.0
泉州,254,16.0
古亭,254,15.0
城中,254,15.0
雙園,254,16.0
龍山,254,14.0
萬芳,254,22.0
景美,254,21.0
木柵,254,25.0
寶橋,254,26.0
金華,254,16.0
安和,254,18.0
復興,254,14.0
南港,254,18.0
舊莊,254,20.0
成德,254,18.0
信義,254,20.0
永吉,254,19.0
莊敬,254,22.0
大直,254,14.0
松江,254,13.0
建國,254,8.0
圓山,254,6.0
八德,254,16.0
中崙,254,12.0
東湖,254,14.0
大湖,254,20.0
內湖,254,12.0
民權,254,18.0
建成,254,8.0
延平,254,10.0
大同,254,6.0
山仔后,254,23.0
天母,254,19.0
福安,254,10.0
社子,254,4.0
劍潭,254,10.0
雙溪,254,14.0
後港,254,8.0
陽明山,254,28.0
光明,254,20.0
關渡,254,16.0
石牌,254,16.0
秀山,254,20.0
華山,255,17.0
忠孝,255,13.0
泉州,255,21.0
古亭,255,18.0
城中,255,19.0
雙園,255,20.0
龍山,255,18.0
萬芳,255,25.0
景美,255,24.0
木柵,255,28.0
寶橋,255,29.0
金華,255,15.0
安和,255,21.0
復興,255,17.0
南港,255,21.0
舊莊,255,23.0
成德,255,21.0
信義,255,23.0
永吉,255,21.0
莊敬,255,25.0
大直,255,15.0
松江,255,14.0
建國,255,11.0
圓山,255,9.0
八德,255,18.0
中崙,255,15.0
東湖,255,16.0
大湖,255,23.0
內湖,255,15.0
民權,255,21.0
建成,255,12.0
延平,255,14.0
大同,255,12.0
山仔后,255,23.0
天母,255,18.0
福安,255,10.0
社子,255,7.0
劍潭,255,9.0
雙溪,255,13.0
後港,255,4.0
陽明山,255,28.0
光明,255,18.0
關渡,255,16.0
石牌,255,13.0
秀山,255,19.0
華山,256,16.0
忠孝,256,12.0
泉州,256,18.0
古亭,256,16.0
城中,256,17.0
雙園,256,18.0
龍山,256,16.0
萬芳,256,23.0
景美,256,22.0
木柵,256,25.0
寶橋,256,27.0
金華,256,15.0
安和,256,18.0
復興,256,15.0
南港,256,18.0
舊莊,256,21.0
成德,256,19.0
信義,256,20.0
永吉,256,18.0
莊敬,256,23.0
大直,256,14.0
松江,256,13.0
建國,256,9.0
圓山,256,8.0
八德,256,16.0
中崙,256,13.0
東湖,256,14.0
大湖,256,21.0
內湖,256,13.0
民權,256,19.0
建成,256,13.0
延平,256,12.0
大同,256,10.0
山仔后,256,20.0
天母,256,18.0
福安,256,8.0
社子,256,5.0
劍潭,256,9.0
雙溪,256,13.0
後港,256,2.0
陽明山,256,26.0
光明,256,16.0
關渡,256,14.0
石牌,256,11.0
秀山,256,15.0
華山,257,17.0
忠孝,257,14.0
泉州,257,20.0
古亭,257,18.0
城中,257,19.0
雙園,257,20.0
龍山,257,18.0
萬芳,257,25.0
景美,257,24.0
木柵,257,28.0
寶橋,257,29.0
金華,257,16.0
安和,257,20.0
復興,257,17.0
南港,257,21.0
舊莊,257,23.0
成德,257,21.0
信義,257,23.0
永吉,257,20.0
莊敬,257,25.0
大直,257,15.0
松江,257,14.0
建國,257,11.0
圓山,257,10.0
八德,257,18.0
中崙,257,15.0
東湖,257,16.0
大湖,257,23.0
內湖,257,15.0
民權,257,21.0
建成,257,14.0
延平,257,14.0
大同,257,12.0
山仔后,257,20.0
天母,257,14.0
福安,257,7.0
社子,257,7.0
劍潭,257,7.0
雙溪,257,10.0
後港,257,5.0
陽明山,257,25.0
光明,257,14.0
關渡,257,12.0
石牌,257,9.0
秀山,257,14.0
華山,258,20.0
忠孝,258,16.0
泉州,258,24.0
古亭,258,22.0
城中,258,22.0
雙園,258,23.0
龍山,258,21.0
萬芳,258,28.0
景美,258,27.0
木柵,258,31.0
寶橋,258,32.0
金華,258,19.0
安和,258,24.0
復興,258,20.0
南港,258,24.0
舊莊,258,26.0
成德,258,24.0
信義,258,26.0
永吉,258,24.0
莊敬,258,28.0
大直,258,18.0
松江,258,17.0
建國,258,14.0
圓山,258,12.0
八德,258,21.0
中崙,258,19.0
東湖,258,20.0
大湖,258,26.0
內湖,258,18.0
民權,258,24.0
建成,258,18.0
延平,258,18.0
大同,258,15.0
山仔后,258,22.0
天母,258,11.0
福安,258,8.0
社子,258,11.0
劍潭,258,8.0
雙溪,258,12.0
後港,258,8.0
陽明山,258,21.0
光明,258,12.0
關渡,258,12.0
石牌,258,7.0
秀山,258,15.0
華山,259,22.0
忠孝,259,18.0
泉州,259,28.0
古亭,259,25.0
城中,259,25.0
雙園,259,27.0
龍山,259,25.0
萬芳,259,32.0
景美,259,31.0
木柵,259,35.0
寶橋,259,36.0
金華,259,21.0
安和,259,29.0
復興,259,24.0
南港,259,28.0
舊莊,259,30.0
成德,259,28.0
信義,259,28.0
永吉,259,26.0
莊敬,259,33.0
大直,259,20.0
松江,259,19.0
建國,259,17.0
圓山,259,14.0
八德,259,23.0
中崙,259,21.0
東湖,259,24.0
大湖,259,30.0
內湖,259,22.0
民權,259,26.0
建成,259,21.0
延平,259,21.0
大同,259,19.0
山仔后,259,26.0
天母,259,10.0
福安,259,11.0
社子,259,15.0
劍潭,259,10.0
雙溪,259,13.0
後港,259,12.0
陽明山,259,21.0
光明,259,11.0
關渡,259,14.0
石牌,259,3.0
秀山,259,14.0
華山,260,26.0
忠孝,260,22.0
泉州,260,29.0
古亭,260,28.0
城中,260,27.0
雙園,260,29.0
龍山,260,26.0
萬芳,260,34.0
景美,260,33.0
木柵,260,37.0
寶橋,260,38.0
金華,260,24.0
安和,260,30.0
復興,260,26.0
南港,260,30.0
舊莊,260,32.0
成德,260,31.0
信義,260,32.0
永吉,260,30.0
莊敬,260,34.0
大直,260,24.0
松江,260,23.0
建國,260,20.0
圓山,260,18.0
八德,260,27.0
中崙,260,25.0
東湖,260,26.0
大湖,260,32.0
內湖,260,24.0
民權,260,30.0
建成,260,24.0
延平,260,23.0
大同,260,21.0
山仔后,260,32.0
天母,260,10.0
福安,260,12.0
社子,260,17.0
劍潭,260,14.0
雙溪,260,17.0
後港,260,14.0
陽明山,260,26.0
光明,260,10.0
關渡,260,13.0
石牌,260,4.0
秀山,260,16.0
華山,261,28.0
忠孝,261,27.0
泉州,261,31.0
古亭,261,31.0
城中,261,29.0
雙園,261,30.0
龍山,261,28.0
萬芳,261,38.0
景美,261,37.0
木柵,261,41.0
寶橋,261,42.0
金華,261,29.0
安和,261,33.0
復興,261,30.0
南港,261,34.0
舊莊,261,36.0
成德,261,34.0
信義,261,35.0
永吉,261,33.0
莊敬,261,38.0
大直,261,28.0
松江,261,27.0
建國,261,24.0
圓山,261,23.0
八德,261,31.0
中崙,261,28.0
東湖,261,29.0
大湖,261,36.0
內湖,261,28.0
民權,261,34.0
建成,261,25.0
延平,261,24.0
大同,261,24.0
山仔后,261,20.0
天母,261,18.0
福安,261,13.0
社子,261,18.0
劍潭,261,20.0
雙溪,261,24.0
後港,261,18.0
陽明山,261,14.0
光明,261,10.0
關渡,261,15.0
石牌,261,12.0
秀山,261,10.0
華山,262,31.0
忠孝,262,32.0
泉州,262,33.0
古亭,262,34.0
城中,262,32.0
雙園,262,33.0
龍山,262,31.0
萬芳,262,40.0
景美,262,39.0
木柵,262,43.0
寶橋,262,45.0
金華,262,34.0
安和,262,36.0
復興,262,33.0
南港,262,36.0
舊莊,262,38.0
成德,262,37.0
信義,262,38.0
永吉,262,36.0
莊敬,262,41.0
大直,262,33.0
松江,262,32.0
建國,262,27.0
圓山,262,26.0
八德,262,33.0
中崙,262,31.0
東湖,262,32.0
大湖,262,39.0
內湖,262,30.0
民權,262,37.0
建成,262,28.0
延平,262,27.0
大同,262,26.0
山仔后,262,17.0
天母,262,12.0
福安,262,16.0
社子,262,21.0
劍潭,262,23.0
雙溪,262,25.0
後港,262,22.0
陽明山,262,11.0
光明,262,7.0
關渡,262,19.0
石牌,262,15.0
秀山,262,11.0
華山,263,34.0
忠孝,263,30.0
泉州,263,35.0
古亭,263,36.0
城中,263,34.0
雙園,263,35.0
龍山,263,33.0
萬芳,263,42.0
景美,263,41.0
木柵,263,45.0
寶橋,263,47.0
金華,263,33.0
安和,263,41.0
復興,263,37.0
南港,263,38.0
舊莊,263,40.0
成德,263,39.0
信義,263,40.0
永吉,263,38.0
莊敬,263,45.0
大直,263,32.0
松江,263,31.0
建國,263,29.0
圓山,263,26.0
八德,263,35.0
中崙,263,33.0
東湖,263,34.0
大湖,263,41.0
內湖,263,32.0
民權,263,38.0
建成,263,30.0
延平,263,29.0
大同,263,28.0
山仔后,263,18.0
天母,263,10.0
福安,263,18.0
社子,263,23.0
劍潭,263,22.0
雙溪,263,24.0
後港,263,24.0
陽明山,263,12.0
光明,263,9.0
關渡,263,21.0
石牌,263,14.0
秀山,263,13.0
華山,264,35.0
忠孝,264,31.0
泉州,264,36.0
古亭,264,37.0
城中,264,35.0
雙園,264,36.0
龍山,264,34.0
萬芳,264,43.0
景美,264,42.0
木柵,264,46.0
寶橋,264,48.0
金華,264,34.0
安和,264,42.0
復興,264,36.0
南港,264,39.0
舊莊,264,41.0
成德,264,40.0
信義,264,41.0
永吉,264,39.0
莊敬,264,44.0
大直,264,33.0
松江,264,32.0
建國,264,30.0
圓山,264,27.0
八德,264,36.0
中崙,264,34.0
東湖,264,35.0
大湖,264,42.0
內湖,264,33.0
民權,264,39.0
建成,264,31.0
延平,264,30.0
大同,264,29.0
山仔后,264,29.0
天母,264,11.0
福安,264,19.0
社子,264,24.0
劍潭,264,23.0
雙溪,264,25.0
後港,264,25.0
陽明山,264,23.0
光明,264,10.0
關渡,264,22.0
石牌,264,15.0
秀山,264,41.0
華山,267,55.0
忠孝,267,52.0
泉州,267,60.0
古亭,267,60.0
城中,267,58.0
雙園,267,64.0
龍山,267,62.0
萬芳,267,66.0
景美,267,65.0
木柵,267,69.0
寶橋,267,70.0
金華,267,54.0
安和,267,62.0
復興,267,58.0
南港,267,65.0
舊莊,267,63.0
成德,267,62.0
信義,267,61.0
永吉,267,59.0
莊敬,267,62.0
大直,267,47.0
松江,267,52.0
建國,267,51.0
圓山,267,48.0
八德,267,57.0
中崙,267,55.0
東湖,267,60.0
大湖,267,60.0
內湖,267,57.0
民權,267,54.0
建成,267,55.0
延平,267,58.0
大同,267,55.0
山仔后,267,39.0
天母,267,36.0
福安,267,47.0
社子,267,51.0
劍潭,267,43.0
雙溪,267,40.0
後港,267,49.0
陽明山,267,44.0
光明,267,40.0
關渡,267,50.0
石牌,267,43.0
秀山,267,37.0
華山,275,19.0
忠孝,275,18.0
泉州,275,11.0
古亭,275,6.0
城中,275,18.0
雙園,275,17.0
龍山,275,20.0
萬芳,275,16.0
景美,275,12.0
木柵,275,17.0
寶橋,275,15.0
金華,275,16.0
安和,275,12.0
復興,275,12.0
南港,275,27.0
舊莊,275,25.0
成德,275,24.0
信義,275,18.0
永吉,275,20.0
莊敬,275,15.0
大直,275,24.0
松江,275,16.0
建國,275,19.0
圓山,275,19.0
八德,275,17.0
中崙,275,17.0
東湖,275,25.0
大湖,275,32.0
內湖,275,23.0
民權,275,20.0
建成,275,23.0
延平,275,19.0
大同,275,23.0
山仔后,275,36.0
天母,275,34.0
福安,275,26.0
社子,275,23.0
劍潭,275,25.0
雙溪,275,29.0
後港,275,25.0
陽明山,275,41.0
光明,275,35.0
關渡,275,34.0
石牌,275,32.0
秀山,275,33.0
華山,276,18.0
忠孝,276,17.0
泉州,276,7.0
古亭,276,6.0
城中,276,16.0
雙園,276,13.0
龍山,276,16.0
萬芳,276,17.0
景美,276,11.0
木柵,276,20.0
寶橋,276,19.0
金華,276,14.0
安和,276,12.0
復興,276,12.0
南港,276,27.0
舊莊,276,26.0
成德,276,24.0
信義,276,19.0
永吉,276,20.0
莊敬,276,15.0
大直,276,23.0
松江,276,13.0
建國,276,16.0
圓山,276,16.0
八德,276,17.0
中崙,276,14.0
東湖,276,23.0
大湖,276,30.0
內湖,276,21.0
民權,276,20.0
建成,276,19.0
延平,276,15.0
大同,276,20.0
山仔后,276,34.0
天母,276,31.0
福安,276,22.0
社子,276,20.0
劍潭,276,22.0
雙溪,276,26.0
後港,276,22.0
陽明山,276,39.0
光明,276,32.0
關渡,276,30.0
石牌,276,29.0
秀山,276,32.0
華山,277,15.0
忠孝,277,16.0
泉州,277,5.0
古亭,277,7.0
城中,277,13.0
雙園,277,12.0
龍山,277,14.0
萬芳,277,18.0
景美,277,9.0
木柵,277,18.0
寶橋,277,17.0
金華,277,12.0
安和,277,13.0
復興,277,14.0
南港,277,25.0
舊莊,277,26.0
成德,277,25.0
信義,277,19.0
永吉,277,21.0
莊敬,277,16.0
大直,277,22.0
松江,277,12.0
建國,277,14.0
圓山,277,14.0
八德,277,18.0
中崙,277,13.0
東湖,277,21.0
大湖,277,28.0
內湖,277,19.0
民權,277,21.0
建成,277,17.0
延平,277,13.0
大同,277,18.0
山仔后,277,32.0
天母,277,30.0
福安,277,20.0
社子,277,19.0
劍潭,277,20.0
雙溪,277,24.0
後港,277,21.0
陽明山,277,37.0
光明,277,30.0
關渡,277,28.0
石牌,277,28.0
秀山,277,33.0
華山,278,11.0
忠孝,278,11.0
泉州,278,5.0
古亭,278,8.0
城中,278,10.0
雙園,278,12.0
龍山,278,11.0
萬芳,278,15.0
景美,278,11.0
木柵,278,20.0
寶橋,278,18.0
金華,278,8.0
安和,278,14.0
復興,278,10.0
南港,278,23.0
舊莊,278,22.0
成德,278,22.0
信義,278,19.0
永吉,278,17.0
莊敬,278,17.0
大直,278,19.0
松江,278,9.0
建國,278,12.0
圓山,278,12.0
八德,278,14.0
中崙,278,10.0
東湖,278,19.0
大湖,278,25.0
內湖,278,17.0
民權,278,18.0
建成,278,16.0
延平,278,13.0
大同,278,18.0
山仔后,278,30.0
天母,278,27.0
福安,278,20.0
社子,278,16.0
劍潭,278,18.0
雙溪,278,22.0
後港,278,18.0
陽明山,278,35.0
光明,278,31.0
關渡,278,29.0
石牌,278,25.0
秀山,278,34.0
華山,279,9.0
忠孝,279,7.0
泉州,279,8.0
古亭,279,9.0
城中,279,9.0
雙園,279,12.0
龍山,279,10.0
萬芳,279,19.0
景美,279,15.0
木柵,279,24.0
寶橋,279,22.0
金華,279,4.0
安和,279,15.0
復興,279,10.0
南港,279,26.0
舊莊,279,24.0
成德,279,23.0
信義,279,19.0
永吉,279,17.0
莊敬,279,19.0
大直,279,17.0
松江,279,12.0
建國,279,14.0
圓山,279,11.0
八德,279,15.0
中崙,279,13.0
東湖,279,22.0
大湖,279,28.0
內湖,279,20.0
民權,279,18.0
建成,279,14.0
延平,279,11.0
大同,279,16.0
山仔后,279,27.0
天母,279,25.0
福安,279,21.0
社子,279,17.0
劍潭,279,16.0
雙溪,279,20.0
後港,279,16.0
陽明山,279,33.0
光明,279,31.0
關渡,279,29.0
石牌,279,25.0
秀山,279,32.0
華山,280,5.0
忠孝,280,6.0
泉州,280,12.0
古亭,280,13.0
城中,280,9.0
雙園,280,16.0
龍山,280,13.0
萬芳,280,22.0
景美,280,19.0
木柵,280,25.0
寶橋,280,26.0
金華,280,5.0
安和,280,14.0
復興,280,11.0
南港,280,23.0
舊莊,280,21.0
成德,280,19.0
信義,280,17.0
永吉,280,14.0
莊敬,280,18.0
大直,280,15.0
松江,280,9.0
建國,280,12.0
圓山,280,9.0
八德,280,11.0
中崙,280,11.0
東湖,280,19.0
大湖,280,26.0
內湖,280,18.0
民權,280,15.0
建成,280,11.0
延平,280,9.0
大同,280,14.0
山仔后,280,26.0
天母,280,23.0
福安,280,19.0
社子,280,15.0
劍潭,280,14.0
雙溪,280,18.0
後港,280,14.0
陽明山,280,32.0
光明,280,29.0
關渡,280,27.0
石牌,280,23.0
秀山,280,30.0
華山,281,2.0
忠孝,281,7.0
泉州,281,15.0
古亭,281,13.0
城中,281,9.0
雙園,281,17.0
龍山,281,12.0
萬芳,281,19.0
景美,281,18.0
木柵,281,22.0
寶橋,281,24.0
金華,281,10.0
安和,281,14.0
復興,281,11.0
南港,281,18.0
舊莊,281,17.0
成德,281,14.0
信義,281,11.0
永吉,281,10.0
莊敬,281,16.0
大直,281,14.0
松江,281,4.0
建國,281,12.0
圓山,281,8.0
八德,281,7.0
中崙,281,7.0
東湖,281,16.0
大湖,281,23.0
內湖,281,14.0
民權,281,11.0
建成,281,8.0
延平,281,6.0
大同,281,10.0
山仔后,281,27.0
天母,281,22.0
福安,281,19.0
社子,281,14.0
劍潭,281,12.0
雙溪,281,17.0
後港,281,13.0
陽明山,281,32.0
光明,281,28.0
關渡,281,26.0
石牌,281,22.0
秀山,281,29.0
華山,282,4.0
忠孝,282,8.0
泉州,282,14.0
古亭,282,14.0
城中,282,9.0
雙園,282,17.0
龍山,282,13.0
萬芳,282,21.0
景美,282,20.0
木柵,282,23.0
寶橋,282,25.0
金華,282,10.0
安和,282,17.0
復興,282,13.0
南港,282,22.0
舊莊,282,20.0
成德,282,18.0
信義,282,15.0
永吉,282,13.0
莊敬,282,20.0
大直,282,14.0
松江,282,8.0
建國,282,11.0
圓山,282,8.0
八德,282,10.0
中崙,282,10.0
東湖,282,19.0
大湖,282,26.0
內湖,282,17.0
民權,282,14.0
建成,282,7.0
延平,282,8.0
大同,282,9.0
山仔后,282,23.0
天母,282,22.0
福安,282,18.0
社子,282,14.0
劍潭,282,13.0
雙溪,282,17.0
後港,282,13.0
陽明山,282,29.0
光明,282,27.0
關渡,282,26.0
石牌,282,22.0
秀山,282,24.0
華山,283,6.0
忠孝,283,10.0
泉州,283,17.0
古亭,283,15.0
城中,283,11.0
雙園,283,17.0
龍山,283,16.0
萬芳,283,21.0
景美,283,20.0
木柵,283,24.0
寶橋,283,26.0
金華,283,12.0
安和,283,17.0
復興,283,14.0
南港,283,21.0
舊莊,283,23.0
成德,283,20.0
信義,283,17.0
永吉,283,15.0
莊敬,283,22.0
大直,283,10.0
松江,283,10.0
建國,283,7.0
圓山,283,4.0
八德,283,13.0
中崙,283,13.0
東湖,283,17.0
大湖,283,24.0
內湖,283,17.0
民權,283,17.0
建成,283,5.0
延平,283,11.0
大同,283,7.0
山仔后,283,24.0
天母,283,19.0
福安,283,12.0
社子,283,8.0
劍潭,283,9.0
雙溪,283,14.0
後港,283,10.0
陽明山,283,30.0
光明,283,22.0
關渡,283,20.0
石牌,283,18.0
秀山,283,27.0
華山,284,8.0
忠孝,284,11.0
泉州,284,17.0
古亭,284,16.0
城中,284,13.0
雙園,284,19.0
龍山,284,18.0
萬芳,284,22.0
景美,284,22.0
木柵,284,25.0
寶橋,284,27.0
金華,284,13.0
安和,284,18.0
復興,284,15.0
南港,284,23.0
舊莊,284,25.0
成德,284,22.0
信義,284,19.0
永吉,284,17.0
莊敬,284,23.0
大直,284,12.0
松江,284,12.0
建國,284,6.0
圓山,284,3.0
八德,284,15.0
中崙,284,13.0
東湖,284,18.0
大湖,284,25.0
內湖,284,18.0
民權,284,18.0
建成,284,7.0
延平,284,13.0
大同,284,10.0
山仔后,284,21.0
天母,284,20.0
福安,284,15.0
社子,284,11.0
劍潭,284,11.0
雙溪,284,15.0
後港,284,11.0
